Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,33.279999,33.366669,33.006668,33.176666,30.771736,1091700
2019-09-04,33.340000,33.389999,33.049999,33.303333,30.889227,1215000
2019-09-05,33.570000,34.036667,33.413334,34.006668,31.541580,1826700
2019-09-06,34.116669,34.813332,34.049999,34.753334,32.234119,2254800
2019-09-09,34.930000,35.086666,34.223331,34.279999,31.795088,1612200
2019-09-10,34.296665,34.296665,32.520000,32.716667,30.345083,2342100
2019-09-11,32.693333,32.866669,32.243332,32.726665,30.354362,2520900
2019-09-12,32.763332,33.336666,32.763332,33.000000,30.755110,1464300
2019-09-13,33.226665,33.296665,32.583332,33.173332,30.916651,1708500
2019-09-16,33.116669,33.506668,32.823334,33.093334,30.842093,1896000
2019-09-17,33.296665,34.340000,33.090000,34.243332,31.913864,3309600
2019-09-18,34.406666,34.426666,33.756668,34.206669,31.879690,1408800
2019-09-19,34.163334,34.439999,33.723331,33.893333,31.587673,1222800
2019-09-20,33.970001,33.993332,33.529999,33.560001,31.277012,1860600
2019-09-23,33.540001,33.896667,33.353333,33.416668,31.143433,2292300
2019-09-24,33.773335,34.173332,33.536667,33.790001,31.491364,3150600
2019-09-25,33.939999,34.349998,33.709999,34.253334,31.923189,3421800
2019-09-26,34.133331,34.133331,33.646667,33.939999,31.631168,1329000
2019-09-27,34.189999,34.266666,33.253334,33.360001,31.090622,1929300
2019-09-30,33.406666,33.476665,33.049999,33.116669,30.863848,1903500
2019-10-01,33.103333,33.110001,32.676666,32.863335,30.627739,1701300
2019-10-02,32.616669,32.650002,31.876667,31.913334,29.742363,2569800
2019-10-03,31.843332,32.393333,31.766666,32.380001,30.177292,1339800
2019-10-04,32.463333,33.113335,32.459999,33.076668,30.826559,1627200
2019-10-07,32.966667,33.286667,32.683334,33.003334,30.758223,1974000
2019-10-08,32.880001,32.880001,32.293331,32.360001,30.158651,2190300
2019-10-09,32.656666,32.753334,32.296665,32.443333,30.236307,1741500
2019-10-10,32.456669,32.970001,32.340000,32.853333,30.618414,1544100
2019-10-11,33.250000,33.276669,32.746666,33.103333,30.851414,2284800
2019-10-14,33.126667,33.220001,32.746666,32.783333,30.553179,1395900
2019-10-15,32.860001,33.006668,32.593334,32.639999,30.419598,1523100
2019-10-16,32.536667,32.746666,32.143333,32.686668,30.463093,2901900
2019-10-17,32.680000,32.823334,32.556667,32.776669,30.546972,3306000
2019-10-18,32.793331,33.016666,32.549999,32.873333,30.637060,2030700
2019-10-21,33.083332,33.083332,32.529999,32.720001,30.494162,1975500
2019-10-22,32.686668,32.930000,32.206669,32.619999,30.400959,3185100
2019-10-23,33.243332,33.853333,32.733334,33.770000,31.472731,4095300
2019-10-24,34.000000,34.000000,33.423332,33.663334,31.373316,2118900
2019-10-25,33.303333,33.496666,32.473331,32.810001,30.578039,3066000
2019-10-28,32.889999,33.026669,32.716667,32.910000,30.671234,1869600
2019-10-29,32.803333,33.396667,32.706669,32.880001,30.643272,1338600
2019-10-30,32.896667,33.463333,32.709999,33.353333,31.084406,1435500
2019-10-31,33.246666,33.410000,32.990002,33.256668,30.994320,1620600
2019-11-01,33.486668,33.486668,32.889999,33.076668,30.826559,1630800
2019-11-04,33.243332,33.259998,32.843334,32.863335,30.627739,1659600
